2016/10/1,11
2016/10/2,9
2016/10/3,9
2016/10/4,9
2016/10/5,8
2016/10/6,8
2016/10/7,14
2016/10/8,15
2016/10/9,16
2016/10/10,25
2016/10/11,27
2016/10/12,23
2016/10/13,32
2016/10/14,27
2016/10/15,25
2016/10/16,19
2016/10/17,9
2016/10/18,6
2016/10/19,13
2016/10/20,14
2016/10/21,15
2016/10/22,23
2016/10/23,19
2016/10/24,22
2016/10/25,28
2016/10/26,13
2016/10/27,17
2016/10/28,28
2016/10/29,36
2016/10/30,40
2016/10/31,26
2016/11/1,40
2016/11/2,34
2016/11/3,30
2016/11/4,26
2016/11/5,23
2016/11/6,28
2016/11/7,34
2016/11/8,35
2016/11/9,36
2016/11/10,57
2016/11/11,37
2016/11/12,21
2016/11/13,20
2016/11/14,18
2016/11/15,16
2016/11/16,23
2016/11/17,23
2016/11/18,19
2016/11/19,23
2016/11/20,15
2016/11/21,22
2016/11/22,17
2016/11/23,45
2016/11/24,83
2016/11/25,47
2016/11/26,35
2016/11/27,32
2016/11/28,26
2016/11/29,32
2016/11/30,23
2016/12/1,22
2016/12/2,24
2016/12/3,23
2016/12/4,22
2016/12/5,18
2016/12/6,29
2016/12/7,34
2016/12/8,23
2016/12/9,18
2016/12/10,41
2016/12/11,44
2016/12/12,40
2016/12/13,34
2016/12/14,35
2016/12/15,49
2016/12/16,53
2016/12/17,38
2016/12/18,33
2016/12/19,23
2016/12/20,19
2016/12/21,18
2016/12/22,18
2016/12/23,24
2016/12/24,28
2016/12/25,36
2016/12/26,23
2016/12/27,23
2016/12/28,31
2016/12/29,32
2016/12/30,33
2016/12/31,23
2017/1/1,20
2017/1/2,20
2017/1/3,18
2017/1/4,25
2017/1/5,37
2017/1/6,37
2017/1/7,40
2017/1/8,34
2017/1/9,31
2017/1/10,35
2017/1/11,37
2017/1/12,44
2017/1/13,51
2017/1/14,100
2017/1/15,91
2017/1/16,73
2017/1/17,41
2017/1/18,32
2017/1/19,31
2017/1/20,46
2017/1/21,29
2017/1/22,35
2017/1/23,66
2017/1/24,56
2017/1/25,50
2017/1/26,34
2017/1/27,29
2017/1/28,26
2017/1/29,27
2017/1/30,24
2017/1/31,28
2017/2/1,25
2017/2/2,30
2017/2/3,20
2017/2/4,19
2017/2/5,25
2017/2/6,25
2017/2/7,28
2017/2/8,28
2017/2/9,46
2017/2/10,44
2017/2/11,37
2017/2/12,33
2017/2/13,24
2017/2/14,24
2017/2/15,22
2017/2/16,13
2017/2/17,16
2017/2/18,21
2017/2/19,19
2017/2/20,18
2017/2/21,21
2017/2/22,16
2017/2/23,14
2017/2/24,17
2017/2/25,18
2017/2/26,21
2017/2/27,18
2017/2/28,17
2017/3/1,11
2017/3/2,15
2017/3/3,14
2017/3/4,19
2017/3/5,13
2017/3/6,17
2017/3/7,18
2017/3/8,21
2017/3/9,18
2017/3/10,15
2017/3/11,17
2017/3/12,13
2017/3/13,14
2017/3/14,16
2017/3/15,22
2017/3/16,17
2017/3/17,15
2017/3/18,15
2017/3/19,20
2017/3/20,12
2017/3/21,16
2017/3/22,19
2017/3/23,18
2017/3/24,21
2017/3/25,22
2017/3/26,30
2017/3/27,22
2017/3/28,17
2017/3/29,13
2017/3/30,16
2017/3/31,23
